emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
34,46,120,669,724,307,56,35
36,50,123,567,682,320,56,38
39,50,124,573,618,326,50,39
39,51,134,582,594,282,47,41
39,54,137,649,443,272,45,42
45,59,147,687,459,282,51,46
44,63,147,675,439,276,50,44
41,61,149,688,479,280,49,42
40,59,136,609,490,258,49,40
42,61,132,516,489,255,60,48
43,66,140,536,556,269,57,48
42,59,127,585,662,270,55,49
47,73,181,717,709,270,54,52
49,75,183,716,729,306,59,54
49,73,184,763,788,285,48,46
44,62,167,722,755,252,46,40
47,69,174,695,694,254,51,43
44,59,113,532,662,270,54,43
42,61,121,598,699,253,48,42
40,65,129,567,672,277,48,42
41,68,135,660,663,279,49,44
36,63,138,693,619,285,46,38
34,59,138,681,595,268,42,35
37,59,133,650,529,274,49,38
37,53,116,628,527,255,51,39
39,57,125,613,532,249,50,40
37,53,113,561,594,260,51,39
42,55,109,562,649,265,54,43
38,51,98,531,647,235,50,40
40,65,129,567,672,277,48,42
41,68,135,660,663,279,49,44
36,63,138,693,619,285,46,38
34,59,138,681,595,268,42,35
37,59,133,650,529,274,49,38
37,53,116,628,527,255,51,39
39,57,125,613,532,249,50,40
37,53,113,561,594,260,51,39
42,55,109,562,649,265,54,43
38,51,98,531,647,235,50,40
37,51,107,556,666,226,52,40
37,50,103,464,645,260,51,41
41,63,124,475,628,222,52,47
39,62,120,474,558,196,50,45
40,63,120,473,576,210,53,45
40,64,125,492,602,242,49,42
38,62,117,566,656,209,51,41
39,57,134,647,704,223,48,37
41,64,142,671,749,254,49,41
47,74,160,753,799,263,47,44
51,79,159,783,760,250,48,47
52,81,161,776,709,253,45,48
48,79,145,751,662,261,44,45
51,87,179,811,598,241,46,48
48,81,177,777,486,218,46,45
50,83,189,808,590,213,45,45
52,84,205,808,635,241,46,43
54,82,198,781,625,251,48,44
49,68,163,696,654,266,45,36
47,65,151,680,669,263,44,36
28,35,78,428,463,168,47,30
33,44,110,503,519,155,49,31
53,78,174,692,656,150,53,49
60,92,209,756,764,166,56,54
62,100,229,836,756,153,57,56
62,100,231,846,765,145,57,56
64,105,228,825,768,134,58,60
66,106,210,701,733,144,57,58
63,99,183,682,680,139,57,56
63,94,165,685,697,174,58,57
70,104,182,766,716,174,65,65
75,108,219,875,717,177,71,66
